run_time(sec),data_size(Byte),comm_freq(Hz),queue_size,talk_length,talk_mdeian,talk_mean,talk_stdev,talk_sum,lstn_length,lstn_mdeian,lstn_mean,lstn_stdev,lstn_sum
5,1000,100,10,4,500000.0,500000,0.0,2000000,4,1951500.0,1953750,8301.606270274848,7815000
5,1000,100,10,4,500000.0,500000,0.0,2000000,5,1955000,1955000,7582.87544405155,9775000
5,1000,100,10,5,500000,500200,447.21359549995793,2501000,1,2457000,2457000,0,2457000
5,1000,100,10,5,500000,499400,894.4271909999159,2497000,2,2465000.0,2465000,0.0,4930000
5,1000,100,10,5,500000,499600,894.4271909999159,2498000,3,2453000,2444666.6666666665,17097.75813764288,7334000
5,1000,100,10,5,500000,499400,894.4271909999159,2497000,4,2427000.0,2431000,22060.52281036573,9724000
5,1000,100,10,5,499000,499200,836.6600265340755,2496000,5,2411000,2416800,19175.505208468432,12084000
7,10000,1000,10,1,69920000,69920000,0,69920000,1,69810000,69810000,0,69810000
7,10000,1000,10,1,69920000,69920000,0,69920000,2,69225000.0,69225000,35355.33905932738,138450000
7,10000,1000,10,1,69800000,69800000,0,69800000,3,69220000,69226666.66666667,40414.5188432738,207680000
7,10000,1000,10,1,69690000,69690000,0,69690000,4,69390000.0,69407500,99121.13800799505,277630000
7,10000,1000,10,1,69390000,69390000,0,69390000,5,68720000,68766000,285096.4748992874,343830000
7,10000,1000,10,2,69850000.0,69850000,113137.0849898476,139700000,1,138190000,138190000,0,138190000
7,10000,1000,10,2,68950000.0,68950000,84852.8137423857,137900000,2,136135000.0,136135000,120208.15280171308,272270000
7,10000,1000,10,2,67755000.0,67755000,544472.2215136416,135510000,3,134200000,134126666.66666667,200333.05601755626,402380000
7,10000,1000,10,2,67750000.0,67750000,42426.40687119285,135500000,4,134210000.0,134082500,558532.3028557375,536330000
7,10000,1000,10,2,63795000.0,63795000,261629.50903902258,127590000,5,125290000,125368000,1142724.8137675142,626840000
7,10000,1000,10,3,69020000,69100000,221133.4438749598,207300000,1,205960000,205960000,0,205960000
7,10000,1000,10,3,68460000,68493333.33333333,202072.59421636903,205480000,2,203455000.0,203455000,1039446.9683442248,406910000
7,10000,1000,10,3,65820000,65863333.333333336,178978.583448784,197590000,3,193240000,193703333.33333334,1175599.138028492,581110000
7,10000,1000,10,3,51000000,50986666.666666664,41633.319989322656,152960000,4,148030000.0,148205000,1639684.9290844465,592820000
7,10000,1000,10,3,42860000,43046666.666666664,650410.1270224298,129140000,5,124670000,125072000,1222117.015674031,625360000
7,10000,1000,10,4,68150000.0,68085000,174068.9518552921,272340000,1,270090000,270090000,0,270090000
7,10000,1000,10,4,66340000.0,66382500,250649.15718988565,265530000,2,260880000.0,260880000,3196122.6509631947,521760000
7,10000,1000,10,4,49510000.0,49505000,77674.53465154029,198020000,3,191620000,192670000,2636759.374687042,578010000
7,10000,1000,10,4,38865000.0,38905000,237557.01070129112,155620000,4,149480000.0,149385000,1393161.8714277246,597540000
7,10000,1000,10,4,31120000.0,31077500,181176.7093199344,124310000,5,119100000,119020000,351923.2870953555,595100000
7,10000,1000,10,5,69160000,69170000,69282.03230275509,345850000,1,341960000,341960000,0,341960000
7,10000,1000,10,5,53390000,53396000,131643.45787011218,266980000,2,258855000.0,258855000,1449568.9014324225,517710000
7,10000,1000,10,5,40300000,40286000,283425.475213503,201430000,3,194240000,193776666.66666666,2339665.2182167717,581330000
7,10000,1000,10,5,30210000,30148000,123369.36410632909,150740000,4,141005000.0,141727500,1804889.1932747562,566910000
7,10000,1000,10,5,25770000,25846000,252448.01445050028,129230000,5,118850000,119136000,1230703.0511053428,595680000
