interval,delay,data_size,talk_n,lstn_n
0.05820107460021973,0.0005581378936767578,1,1,1
0.04233980178833008,0.0007059574127197266,1,1,2
0.1691420078277588,0.0007090568542480469,1,1,2
1523844204.373858,0.0007600784301757812,1,1,3
1523844204.373958,0.0008602142333984375,1,1,3
0.053250789642333984,0.0005199909210205078,1,1,3
0.052124977111816406,0.0012137889862060547,1,1,4
0.01339411735534668,0.0014050006866455078,1,1,4
0.05920910835266113,0.0009999275207519531,1,1,4
1523844209.068227,0.00185394287109375,1,1,4
0.3027970790863037,0.0012230873107910156,1,1,5
0.34075403213500977,0.000843048095703125,1,1,5
0.2965121269226074,0.00047707557678222656,1,1,5
0.3886580467224121,0.0006320476531982422,1,1,5
0.42928385734558105,0.001046895980834961,1,1,5
1523844218.21915,0.0005280971527099609,1,2,1
0.04928183555603027,0.0004558563232421875,1,2,1
1523844222.618808,0.0007729530334472656,1,2,2
0.026193857192993164,0.0005857944488525391,1,2,2
1523844222.618594,0.0005588531494140625,1,2,2
0.1356980800628662,0.0004589557647705078,1,2,2
1523844227.010747,0.0006308555603027344,1,2,3
0.009569168090820312,0.0006539821624755859,1,2,3
0.08091402053833008,0.00061798095703125,1,2,3
0.03345298767089844,0.00045299530029296875,1,2,3
0.1304628849029541,0.0008637905120849609,1,2,3
0.033576011657714844,0.0008218288421630859,1,2,3
1523844231.381943,0.0008940696716308594,1,2,4
0.0465550422668457,0.0005750656127929688,1,2,4
1523844231.381751,0.0007021427154541016,1,2,4
0.020895957946777344,0.0006690025329589844,1,2,4
0.04592418670654297,0.0007531642913818359,1,2,4
0.11138796806335449,0.0005421638488769531,1,2,4
0.08432984352111816,0.0005910396575927734,1,2,4
0.11192011833190918,0.0009121894836425781,1,2,4
0.4504530429840088,0.0031280517578125,1,2,5
0.0001289844512939453,0.0030438899993896484,1,2,5
0.374586820602417,0.002508878707885742,1,2,5
0.0027379989624023438,0.005460023880004883,1,2,5
0.32200098037719727,0.0029430389404296875,1,2,5
0.0004360675811767578,0.0031659603118896484,1,2,5
0.45865583419799805,0.0028028488159179688,1,2,5
5.316734313964844e-05,0.003069162368774414,1,2,5
0.43262195587158203,0.002585887908935547,1,2,5
8.296966552734375e-05,0.0028820037841796875,1,2,5
1523844243.194313,0.0008389949798583984,1,3,1
0.004603147506713867,0.0005211830139160156,1,3,1
9.799003601074219e-05,0.0005471706390380859,1,3,1
1523844247.579565,0.0011501312255859375,1,3,2
0.0518338680267334,0.00090789794921875,1,3,2
0.02702617645263672,0.0005991458892822266,1,3,2
1523844247.578996,0.0005810260772705078,1,3,2
0.13856792449951172,0.000743865966796875,1,3,2
0.02700519561767578,0.00041413307189941406,1,3,2
0.12692785263061523,0.0034389495849609375,1,3,3
0.011605024337768555,0.0005190372467041016,1,3,3
0.06430315971374512,0.0008029937744140625,1,3,3
0.026535987854003906,0.003358125686645508,1,3,3
0.011773824691772461,0.0006070137023925781,1,3,3
0.06447601318359375,0.0010638236999511719,1,3,3
0.3601539134979248,0.0033540725708007812,1,3,3
0.011591911315917969,0.0004210472106933594,1,3,3
0.06444096565246582,0.0008428096771240234,1,3,3
0.7582700252532959,0.008856058120727539,1,3,4
5.412101745605469e-05,0.008678197860717773,1,3,4
0.00031495094299316406,0.00894308090209961,1,3,4
0.7666380405426025,0.008577108383178711,1,3,4
5.2928924560546875e-05,0.008398056030273438,1,3,4
0.0007960796356201172,0.009144067764282227,1,3,4
0.7779829502105713,0.008715152740478516,1,3,4
5.4836273193359375e-05,0.008538007736206055,1,3,4
0.0005621910095214844,0.009050130844116211,1,3,4
0.7938039302825928,0.008424043655395508,1,3,4
6.508827209472656e-05,0.008257150650024414,1,3,4
0.0006248950958251953,0.008831977844238281,1,3,4
1.2913548946380615,0.43605685234069824,1,3,5
0.37135910987854004,0.8498220443725586,1,3,5
1.3988299369812012,0.45377492904663086,1,3,5
0.34814000129699707,0.8443210124969482,1,3,5
1.40714693069458,0.45373082160949707,1,3,5
0.35411810874938965,0.850255012512207,1,3,5
1.3110501766204834,0.4370410442352295,1,3,5
0.4221029281616211,0.9015500545501709,1,3,5
0.837446928024292,0.0005919933319091797,1,4,1
0.014923095703125,0.0006380081176757812,1,4,1
0.019144058227539062,0.0005581378936767578,1,4,1
0.033229827880859375,0.0005140304565429688,1,4,1
0.16512012481689453,0.0005381107330322266,1,4,2
0.004744052886962891,0.0008060932159423828,1,4,2
0.005471944808959961,0.0004639625549316406,1,4,2
0.013931989669799805,0.0006730556488037109,1,4,2
0.40923309326171875,0.0010581016540527344,1,4,2
0.003840923309326172,0.0004229545593261719,1,4,2
0.005808115005493164,0.0004169940948486328,1,4,2
0.013859987258911133,0.0005540847778320312,1,4,2
1.8942530155181885,0.01801586151123047,1,4,3
0.0004470348358154297,0.0009179115295410156,1,4,3
0.017828941345214844,0.0008919239044189453,1,4,3
0.002886056900024414,0.0007328987121582031,1,4,3
1.8858139514923096,0.018904924392700195,1,4,3
6.008148193359375e-05,0.0014200210571289062,1,4,3
0.017145872116088867,0.0007109642028808594,1,4,3
0.0029821395874023438,0.0006480216979980469,1,4,3
1.8919720649719238,0.018107891082763672,1,4,3
0.0006339550018310547,0.0011968612670898438,1,4,3
0.017675161361694336,0.0010170936584472656,1,4,3
0.0028429031372070312,0.0008149147033691406,1,4,3
0.26740288734436035,0.00084686279296875,1,4,4
0.0003490447998046875,0.0008869171142578125,1,4,4
9.298324584960938e-05,0.0012888908386230469,1,4,4
0.0037560462951660156,0.0005350112915039062,1,4,4
0.2557189464569092,0.0003809928894042969,1,4,4
0.00022792816162109375,0.0009179115295410156,1,4,4
0.00010395050048828125,0.0010218620300292969,1,4,4
0.004055023193359375,0.0005669593811035156,1,4,4
0.053793907165527344,0.0008518695831298828,1,4,5
0.014158010482788086,0.0005879402160644531,1,4,5
0.5449612140655518,0.0011441707611083984,1,4,5
0.07360482215881348,0.0007338523864746094,1,4,5
0.02445697784423828,0.000576019287109375,1,4,5
0.014320850372314453,0.0004749298095703125,1,4,5
0.5451021194458008,0.0011720657348632812,1,4,5
0.07337307929992676,0.0005300045013427734,1,4,5
0.5145430564880371,0.0004911422729492188,1,5,1
0.02126288414001465,0.0008540153503417969,1,5,1
9.608268737792969e-05,0.0004971027374267578,1,5,1
0.0041370391845703125,0.00039005279541015625,1,5,1
0.004767894744873047,0.0005409717559814453,1,5,1
1523844721.954848,0.0015571117401123047,1,5,2
0.0058269500732421875,0.0006580352783203125,1,5,2
0.007208108901977539,0.001116037368774414,1,5,2
0.0051729679107666016,0.0011150836944580078,1,5,2
6.198883056640625e-05,0.0004830360412597656,1,5,2
1523844721.954798,0.0015070438385009766,1,5,2
0.005887031555175781,0.0006680488586425781,1,5,2
0.006679058074951172,0.0005970001220703125,1,5,2
0.005352973937988281,0.0007760524749755859,1,5,2
0.0005619525909423828,0.0006439685821533203,1,5,2
0.522150993347168,0.004342079162597656,1,5,3
0.0005159378051757812,0.004745960235595703,1,5,3
0.0007059574127197266,0.003854990005493164,1,5,3
0.10634398460388184,0.04580998420715332,1,5,3
0.16282320022583008,0.2672100067138672,1,5,3
0.63022780418396,0.013904809951782227,1,5,3
7.510185241699219e-05,0.013746976852416992,1,5,3
4.291534423828125e-05,0.011592864990234375,1,5,3
4.410743713378906e-05,0.013864994049072266,1,5,3
4.696846008300781e-05,0.013946056365966797,1,5,3
0.5290300846099854,0.004454135894775391,1,5,3
0.0005300045013427734,0.00487208366394043,1,5,3
0.002501964569091797,0.005777120590209961,1,5,3
0.10590887069702148,0.047297000885009766,1,5,3
0.1614820957183838,0.26735591888427734,1,5,3
0.6303379535675049,0.013993024826049805,1,5,3
8.20159912109375e-05,0.014009952545166016,1,5,3
4.1961669921875e-05,0.014284849166870117,1,5,3
4.100799560546875e-05,0.011895895004272461,1,5,3
3.814697265625e-05,0.014162063598632812,1,5,3
0.5020289421081543,0.004557132720947266,1,5,3
0.0001728534698486328,0.004617929458618164,1,5,3
0.0007050037384033203,0.0037260055541992188,1,5,3
0.08611297607421875,0.02544999122619629,1,5,3
0.1832430362701416,0.2672698497772217,1,5,3
0.6298391819000244,0.013408184051513672,1,5,3
9.989738464355469e-05,0.011245965957641602,1,5,3
5.793571472167969e-05,0.01350092887878418,1,5,3
4.601478576660156e-05,0.013577938079833984,1,5,3
4.100799560546875e-05,0.013820886611938477,1,5,3
0.39296698570251465,0.0005929470062255859,1,1,1
